Link	Mark	Placement_date	Price	Title	VIN	Views	Владельцы	Госномер	Двигатель	Коробка	Кузов	Налог	ПТС	Привод	Пробег	Руль	Состояние	Таможня	Цвет	год выпуска	Владение	Кузов №	Обмен	Гарантия	Запас хода
https://auto.ru/cars/used/sale/volvo/s40/1103346601-48e5a1fe/	Volvo	1 июня	230 000 ₽	Volvo S40 I Рестайлинг	YV1**************	435 (116 сегодня)	3 или более	******|152	1.8 л / 122 л.с. / Бензин	механическая	седан	3 050 ₽ / год	Дубликат	передний	360 000 км	Левый	Не требует ремонта	Растаможен	серый	2002					
https://auto.ru/cars/used/sale/hyundai/i40/1103688434-3cda717d/	Hyundai	26 мая	1 130 000 ₽	Hyundai i40 I Рестайлинг	XWE**************	582 (66 сегодня)	2 владельца	******|777	2.0 л / 150 л.с. / Бензин	автоматическая	седан	5 250 ₽ / год	Оригинал	передний	81 300 км	Левый	Не требует ремонта	Растаможен	коричневый	2016					
https://auto.ru/cars/used/sale/zis/110/1092197012-41742c8f/	ЗиС	31 мая	30 000 000 ₽	ЗиС 110		754 (78 сегодня)	3 или более		6.0 л / 140 л.с. / Бензин	механическая	лимузин	2 940 ₽ / год	Оригинал	задний	30 000 км	Левый	Не требует ремонта	Растаможен	чёрный	1950	5 лет и 4 месяца	66***********			
https://auto.ru/cars/used/sale/nissan/gt_r/1103612996-62c5a587/	Nissan	2 июня	2 899 000 ₽	Nissan GT-R I	JN1**************	2462 (394 сегодня)	3 или более	******|797	3.8 л / 485 л.с. / Бензин	роботизированная	купе	72 750 ₽ / год	Оригинал	полный	104 000 км	Левый	Не требует ремонта	Растаможен	зелёный	2010	3 года и 2 месяца				
https://auto.ru/cars/used/sale/audi/rs6/1103644987-3d7c9566/	Audi	5 июня	5 990 000 ₽	Audi RS 6 III (C7) Рестайлинг	WUA**************	3 (3 сегодня)	3 или более	******|198	4.0 л / 605 л.с. / Бензин	автоматическая	универсал 5 дв.	181 500 ₽ / год	Оригинал	полный	21 000 км	Левый	Не требует ремонта	Растаможен	синий	2017			Рассмотрю варианты		
https://auto.ru/cars/used/sale/hyundai/creta/1103396010-83801b04/	Hyundai	5 июня	1 720 000 ₽	Hyundai Creta I Рестайлинг	Z94**************	1 (1 сегодня)	1 владелец		2.0 л / 149 л.с. / Бензин	автоматическая	внедорожник 5 дв.	5 215 ₽ / год	Оригинал	полный	10 км	Левый	Не требует ремонта	Растаможен	чёрный	2021	2 месяца			До апреля 2026	
https://auto.ru/cars/used/sale/nissan/gt_r/1103644864-62565c8c/	Nissan	5 июня	7 000 000 ₽	Nissan GT-R I Рестайлинг 3	JN1**************	67 (67 сегодня)	2 владельца	******|799	3.8 л / 555 л.с. / Бензин	роботизированная	купе	83 250 ₽ / год	Оригинал	полный	45 000 км	Левый	Не требует ремонта	Растаможен	оранжевый	2016			Рассмотрю варианты		
https://auto.ru/cars/used/sale/hyundai/creta/1103677943-75efbe16/	Hyundai	5 июня	1 375 000 ₽	Hyundai Creta I	Z94**************	164 (164 сегодня)	1 владелец		1.6 л / 123 л.с. / Бензин	автоматическая	внедорожник 5 дв.	3 075 ₽ / год	Оригинал	передний	21 060 км	Левый	Не требует ремонта	Растаможен	красный	2018			Рассмотрю варианты		
https://auto.ru/cars/used/sale/honda/element/1103662951-dd3a6cae/	Honda	5 июня	690 000 ₽	Honda Element I	5J6**************	440 (440 сегодня)	2 владельца		2.4 л / 162 л.с. / Бензин	автоматическая	внедорожник 5 дв.	7 290 ₽ / год	Оригинал	передний	155 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2004			Рассмотрю варианты		
https://auto.ru/cars/used/sale/audi/rs6/1103622290-76309671/	Audi	2 июня	4 490 000 ₽	Audi RS 6 III (C7) Рестайлинг	WUA**************	1630 (287 сегодня)	3 или более	******|750	4.0 л / 560 л.с. / Бензин	автоматическая	универсал 5 дв.	84 000 ₽ / год	Оригинал	полный	48 100 км	Левый	Не требует ремонта	Растаможен	синий	2015	5 лет и 10 месяцев		Рассмотрю варианты		
